,name,pt_cut,met_cut,eff
216,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,85,0.012034464351706109
217,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,85,0.013236583704361636
218,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,85,0.01457702988353297
219,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,85,0.016063541652393546
220,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,90,0.008136833922523089
221,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,90,0.008499357171166469
222,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,90,0.008991665388351998
223,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,90,0.009600711932235407
224,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,90,0.010335150384225451
225,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,90,0.011211920276456561
226,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,90,0.012226111804437832
227,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,90,0.013385500119887192
228,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,90,0.014690587080470333
229,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,90,0.01614613700114313
230,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,95,0.008852876618538431
231,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,95,0.009148609629841584
232,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,95,0.009564134360179263
233,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,95,0.01009390749308322
234,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,95,0.010748547555522956
235,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,95,0.011554559730864505
236,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,95,0.012503066219679976
237,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,95,0.013604679050264202
238,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,95,0.014862049585240214
239,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,95,0.01627630379348485
240,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,100,0.009741383847084924
241,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,100,0.00997306110874805
242,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,100,0.010307254056081778
243,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,100,0.010746314261706516
244,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,100,0.011309336231679004
245,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,100,0.012028126047373786
246,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,100,0.012895017617446589
247,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,100,0.013918515147317807
248,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,100,0.015112451766485334
249,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,100,0.016470290723812377
250,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,105,0.010779746214675413
251,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,105,0.010951064280287462
252,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,105,0.011208740076424676
253,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,105,0.01155828107951782
254,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,105,0.012026892089676776
255,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,105,0.01264357485664983
256,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,105,0.013414857421845202
257,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,105,0.01435041619063163
258,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,105,0.015463962854831334
259,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,105,0.01675017145469786
260,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,110,0.01198905065944892
261,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,110,0.01211296710866196
262,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,110,0.012302321595349114
263,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,110,0.012569647713910958
264,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,110,0.012940994657286254
265,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,110,0.013453652416072466
266,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,110,0.014112878955077145
267,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,110,0.01493735400297303
268,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,110,0.01594736507994087
269,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,110,0.017143804198940273
270,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,115,0.013360279285679011
271,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,115,0.013447376671841186
272,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,115,0.013581667644968952
273,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,115,0.013778000642477141
274,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,115,0.014060519803464558
275,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,115,0.014463906036017882
276,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,115,0.015004330223251806
277,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,115,0.015709098055680867
278,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,115,0.016599174996932198
279,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,115,0.01768314143496405
280,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,120,0.01491410712544049
