,name,pt_cut,met_cut,eff,m1,m2,delta,ctau,mchi,dmchi
166,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,110,0.0026163169815739953,90.0,99.0,0.1,100.0,94.5,9.0
167,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,110,0.0027867709177916756,90.0,99.0,0.1,100.0,94.5,9.0
168,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,110,0.003000830341661172,90.0,99.0,0.1,100.0,94.5,9.0
169,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,110,0.003255290260621916,90.0,99.0,0.1,100.0,94.5,9.0
170,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,115,0.0024865176611050966,90.0,99.0,0.1,100.0,94.5,9.0
171,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,115,0.002499046650565654,90.0,99.0,0.1,100.0,94.5,9.0
172,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,115,0.0025185044746368923,90.0,99.0,0.1,100.0,94.5,9.0
173,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,115,0.0025496375260994175,90.0,99.0,0.1,100.0,94.5,9.0
174,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,115,0.0025969085428516328,90.0,99.0,0.1,100.0,94.5,9.0
175,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,115,0.0026682446316166632,90.0,99.0,0.1,100.0,94.5,9.0
176,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,115,0.0027677900196251236,90.0,99.0,0.1,100.0,94.5,9.0
177,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,115,0.0029070713104888198,90.0,99.0,0.1,100.0,94.5,9.0
178,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,115,0.0030916130168544805,90.0,99.0,0.1,100.0,94.5,9.0
179,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,115,0.003320867411919313,90.0,99.0,0.1,100.0,94.5,9.0
180,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,120,0.002768702118071203,90.0,99.0,0.1,100.0,94.5,9.0
181,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,120,0.0027771421145267416,90.0,99.0,0.1,100.0,94.5,9.0
182,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,120,0.0027901484767719428,90.0,99.0,0.1,100.0,94.5,9.0
183,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,120,0.0028110773031959917,90.0,99.0,0.1,100.0,94.5,9.0
184,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,120,0.0028439583966208106,90.0,99.0,0.1,100.0,94.5,9.0
185,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,120,0.002894428446077652,90.0,99.0,0.1,100.0,94.5,9.0
186,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,120,0.0029681564819344047,90.0,99.0,0.1,100.0,94.5,9.0
187,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,120,0.003075671532047371,90.0,99.0,0.1,100.0,94.5,9.0
188,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,120,0.0032255206607231337,90.0,99.0,0.1,100.0,94.5,9.0
189,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,120,0.003421772638350309,90.0,99.0,0.1,100.0,94.5,9.0
190,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,125,0.0030814564035046474,90.0,99.0,0.1,100.0,94.5,9.0
191,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,125,0.0030869043656301617,90.0,99.0,0.1,100.0,94.5,9.0
192,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,125,0.003095253839153859,90.0,99.0,0.1,100.0,94.5,9.0
193,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,125,0.003109293402794252,90.0,99.0,0.1,100.0,94.5,9.0
194,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,125,0.0031315306590549976,90.0,99.0,0.1,100.0,94.5,9.0
195,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,125,0.0031665855960622234,90.0,99.0,0.1,100.0,94.5,9.0
196,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,125,0.003219383109865133,90.0,99.0,0.1,100.0,94.5,9.0
197,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,125,0.003298137542065513,90.0,99.0,0.1,100.0,94.5,9.0
